Date,Open,High,Low,Close,Adj Close,Volume
2016-1-4,593.31,594.68,587.94,589.91,589.91,34560000
2016-1-5,586.93,589.65,583.06,583.62,583.62,38370000
2016-1-6,582.81,589.97,582.81,589.97,589.97,34670000
2016-1-7,589.12,589.12,577.19,582.3,582.3,53140000
2016-1-8,578.97,579.97,571.96,575.96,575.96,49590000
2016-1-11,574.95,579.24,573.02,573.72,573.72,41350000
2016-1-12,574.23,582.39,574.23,582.39,582.39,37780000
2016-01-13,583.37,584.03,577.29,578.63,578.63,58500000
2016-01-14,571.02,573.73,565.79,569.17,569.17,64770000
2016-01-15,570.33,572.27,555.76,555.76,555.76,58790000
2016-01-18,543.44,543.44,531.92,541.18,541.18,71910000
2016-01-19,541.43,550.29,541.43,550.29,550.29,46670000
2016-01-20,546.69,551.88,543.59,544.24,544.24,54080000
2016-01-21,541.34,548.09,537.88,538.53,538.53,62930000
2016-01-22,541.84,542.4,531.53,539.37,539.37,72570000
2016-01-25,546.87,562.22,546.87,562.19,562.19,61950000
2016-01-26,553.09,560.05,549.32,554.52,554.52,58750000
2016-01-27,558.65,561.94,557.01,558.98,558.98,47280000
2016-01-28,558.65,562.45,555.73,556.86,556.86,43940000
2016-01-29,557.31,562.79,554.63,561.61,561.61,40300000
2016-2-1,562.4,565.79,557.98,557.98,557.98,33490000
2016-2-2,555.13,559.8,553.76,555.09,555.09,26470000
2016-2-3,552.09,556.53,549.01,556.53,556.53,32010000
2016-2-4,560,562.88,559.33,561.22,561.22,24670000
2016-2-5,560.01,565.97,560.01,563.97,563.97,23060000
2016-02-15,558.64,561.48,554.24,559.19,559.19,26540000
2016-02-16,560.98,564.21,560.95,562.32,562.32,41860000
2016-02-17,565.69,567.31,561.1,561.1,561.1,48800000
2016-02-18,564.27,569.38,563.16,566.85,566.85,43460000
2016-02-19,566.68,568.97,565.25,567.51,567.51,72050000
2016-02-22,567.87,576.63,567.87,574.37,574.37,72130000
2016-02-23,579.62,580.05,573.47,573.78,573.78,68990000
2016-02-24,571.54,581.76,570.14,578.87,578.87,61700000
2016-02-25,580.63,583.87,573.02,573.02,573.02,51920000
2016-02-26,574.12,577.73,572.17,577.71,577.71,33430000
