,datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
1456,20160201,BID,16300,1,16300,16500,16900,1626710
1457,20160202,BID,16200,1,16000,16200,16800,824540
1458,20160203,BID,16400,1,16000,16100,16400,718690
1459,20160204,BID,16200,1,16200,16500,16600,1099370
1460,20160205,BID,16400,1,16100,16200,16400,490750
1461,20160215,BID,16400,1,16100,16300,16500,452890
1462,20160216,BID,16300,1,16200,16500,16500,781240
1463,20160217,BID,16000,1,16000,16300,16300,1511740
1464,20160218,BID,16100,1,16100,16200,16400,1277910
1465,20160219,BID,16500,1,16100,16200,16700,1647780
1466,20160222,BID,17200,1,16600,16700,17200,2247920
1467,20160223,BID,17000,1,16900,17400,17400,1871900
1468,20160224,BID,18100,1,16800,16900,18100,5780650
1469,20160225,BID,18300,1,18100,18600,19000,3264500
1470,20160226,BID,18400,1,18200,18500,18700,1813600
1471,20160229,BID,17700,1,17700,18200,18300,2484180
1472,20160301,BID,17700,1,17700,17900,18100,1866330
1473,20160302,BID,18300,1,17900,18000,18300,1811300
1474,20160303,BID,18200,1,18000,18300,18400,1274450
1475,20160304,BID,18100,1,18100,18200,18300,1180200
1476,20160307,BID,17900,1,17900,18200,18200,1713710
1477,20160308,BID,17800,1,17700,17900,18000,1485440
1478,20160309,BID,17400,1,17300,17800,17900,1236990
1479,20160310,BID,17700,1,17400,17600,17700,951910
1480,20160311,BID,17700,1,17700,17900,18000,1299460
1481,20160314,BID,17700,1,17600,17700,17900,968310
1482,20160315,BID,17500,1,17400,17700,17700,1208710
1483,20160316,BID,17700,1,17400,17500,17800,1398670
1484,20160317,BID,17700,1,17700,17800,17900,970590
1485,20160318,BID,17600,1,17300,17700,17700,954300
1486,20160321,BID,17600,1,17600,17700,17900,1464080
1487,20160322,BID,17300,1,17300,17600,17600,1313850
1488,20160323,BID,17600,1,17300,17400,17600,994300
1489,20160324,BID,17200,1,17200,17500,17500,943010
1490,20160325,BID,17300,1,16900,17200,17300,1473220
1491,20160328,BID,17200,1,17100,17400,17400,580320
1492,20160329,BID,16900,1,16900,17000,17200,697840
1493,20160330,BID,16900,1,16700,16900,17000,824140
1494,20160331,BID,16700,1,16700,17100,17200,769430
1495,20160401,BID,16600,1,16600,16800,17000,1187420
1496,20160404,BID,16500,1,16500,16600,17000,764980
1497,20160405,BID,16600,1,16500,16500,16700,437370
1498,20160406,BID,16900,1,16600,16600,16900,1197530
1499,20160407,BID,16900,1,16800,17000,17000,452990
1500,20160408,BID,16800,1,16800,16900,16900,259830
1501,20160411,BID,16700,1,16500,16800,16900,1312000
1502,20160412,BID,16200,1,16100,16500,16600,1533930
1503,20160413,BID,15800,1,15500,16000,16100,2085010
1504,20160414,BID,15900,1,15700,15800,16300,1642570
1505,20160415,BID,16000,1,15900,16200,16200,701360
1506,20160419,BID,15600,1,15600,15900,15900,1099770
1507,20160420,BID,15700,1,15600,15700,15900,1067790
1508,20160421,BID,15900,1,15600,15800,15900,854710
1509,20160422,BID,17000,1,15700,15800,17000,2817020
1510,20160425,BID,17500,1,17500,17500,18000,3955540
1511,20160426,BID,17300,1,17100,17500,17500,956530
1512,20160427,BID,17000,1,16800,17400,17400,1222870
1513,20160428,BID,16500,1,16500,17000,17100,866470
1514,20160429,BID,17500,1,16500,16500,17500,3038650
1515,20160504,BID,17300,1,17000,17300,17700,1426100
1516,20160505,BID,17700,1,17200,17200,18000,3034260
1517,20160506,BID,18100,1,17700,17700,18400,4363520
1518,20160509,BID,17800,1,17700,18200,18400,2115080
1519,20160510,BID,18300,1,17500,17700,18500,3716070
1520,20160511,BID,18600,1,18400,18500,18700,3121100
1521,20160512,BID,18700,1,18400,18700,18700,2149990
1522,20160513,BID,18700,1,18500,18600,18900,3104020
1523,20160516,BID,18600,1,18500,18600,18800,1573350
1524,20160517,BID,19000,1,18700,18900,19200,3209630
1525,20160518,BID,19000,1,18900,19000,19300,1985700
1526,20160519,BID,18600,1,18600,18900,19000,966170
1527,20160520,BID,18300,1,18200,18600,18800,1977000
1528,20160523,BID,17900,1,17900,18300,18400,1529710
1529,20160524,BID,17900,1,17700,17900,18100,1644700
1530,20160525,BID,17900,1,17900,18000,18200,938560
1531,20160526,BID,17500,1,17400,17800,17900,1602380
1532,20160527,BID,17800,1,17300,17500,17800,1466540
1533,20160530,BID,18100,1,17700,17800,18200,661330
1534,20160531,BID,18200,1,18100,18200,18400,1813280
1535,20160601,BID,18300,1,18000,18000,18400,1032960
1536,20160602,BID,18500,1,18200,18300,18500,834990
1537,20160603,BID,18300,1,18300,18500,18600,1115540
1538,20160606,BID,18200,1,18000,18300,18300,1083280
1539,20160607,BID,18100,1,18000,18200,18300,1149500
1540,20160608,BID,18300,1,18000,18000,18500,1699270
1541,20160609,BID,18800,1,18200,18300,18900,2943510
1542,20160610,BID,18600,1,18600,18700,19000,3935310
1543,20160613,BID,18300,1,18200,18500,18600,886660
1544,20160614,BID,18100,1,18000,18100,18300,1115200
1545,20160615,BID,18100,1,18000,18000,18300,867900
1546,20160616,BID,18000,1,18000,18200,18300,819390
1547,20160617,BID,18000,1,17700,18000,18100,965090
1548,20160620,BID,18000,1,17800,17900,18000,595980
1549,20160621,BID,18000,1,17900,18200,18200,575810
1550,20160622,BID,17900,1,17800,18000,18000,371290
1551,20160623,BID,18000,1,17800,17900,18100,764500
1552,20160624,BID,17700,1,16900,17900,17900,1936510
1553,20160627,BID,17500,1,17100,17300,17500,799990
1554,20160628,BID,17500,1,17200,17500,17500,351720
1555,20160629,BID,17600,1,17400,17500,17800,1083530
1556,20160630,BID,17500,1,17400,17600,17700,639570
1557,20160701,BID,17400,1,17300,17400,17600,788490
1558,20160704,BID,17500,1,17100,17400,17500,1555770
1559,20160705,BID,18000,1,17400,17500,18200,2066340
1560,20160706,BID,17900,1,17700,17800,17900,598240
1561,20160707,BID,17900,1,17700,17800,17900,602090
1562,20160708,BID,17800,1,17300,17800,17900,1266730
1563,20160711,BID,17800,1,17500,17800,18100,2012310
1564,20160712,BID,17800,1,17600,17900,17900,687640
1565,20160713,BID,18500,1,17800,17800,18700,4327780
1566,20160714,BID,18600,1,18600,18600,19100,4315400
1567,20160715,BID,18500,1,18300,18500,18600,1123160
1568,20160718,BID,18600,1,18100,18300,18700,2082080
1569,20160719,BID,18000,1,17800,18600,18600,2758450
1570,20160720,BID,17700,1,17700,18000,18100,1363320
1571,20160721,BID,17700,1,17600,17800,17900,1705470
1572,20160722,BID,17700,1,17300,17600,17700,2009510
1573,20160725,BID,17600,1,17500,17700,17800,581260
1574,20160726,BID,17500,1,17400,17600,17700,858490
1575,20160727,BID,17700,1,17400,17400,17800,1091370
1576,20160728,BID,17600,1,17500,17600,17800,501590
1577,20160729,BID,17600,1,17400,17500,17600,805210
1578,20160801,BID,17600,1,17400,17800,17800,707890
1579,20160802,BID,17100,1,17000,17500,17500,1169700
1580,20160803,BID,17100,1,16800,17200,17200,1317460
1581,20160804,BID,16900,1,16900,17100,17200,1128240
1582,20160805,BID,16700,1,16300,16700,16800,1690970
1583,20160808,BID,16600,1,16200,16500,16600,1551990
1584,20160809,BID,16500,1,16400,16600,16700,519900
1585,20160810,BID,16900,1,16300,16300,16900,1148170
1586,20160811,BID,17300,1,16700,16900,17300,1228890
1587,20160812,BID,17100,1,16800,17100,17300,434800
1588,20160815,BID,17100,1,16800,16900,17100,632830
1589,20160816,BID,16900,1,16800,17100,17100,827940
1590,20160817,BID,16900,1,16700,16900,17000,285200
1591,20160818,BID,16700,1,16500,16800,16800,1343540
1592,20160819,BID,16600,1,16300,16700,16700,2029450
1593,20160822,BID,16500,1,16400,16400,16600,1257980
1594,20160823,BID,16500,1,16300,16400,16500,903350
1595,20160824,BID,16300,1,16200,16500,16500,1612330
1596,20160825,BID,16300,1,16100,16300,16400,703200
1597,20160826,BID,16400,1,16300,16400,16700,1297270
1598,20160829,BID,16500,1,16400,16500,16600,1091630
1599,20160830,BID,16500,1,16300,16400,16500,466210
1600,20160831,BID,16400,1,16300,16400,16500,734920
1601,20160901,BID,16400,1,16100,16400,16400,900430
1602,20160905,BID,16400,1,15900,16300,16400,1306300
1603,20160906,BID,16100,1,16100,16100,16300,828750
1604,20160907,BID,16100,1,15900,16100,16200,1329560
1605,20160908,BID,16300,1,16000,16300,16300,541640
1606,20160909,BID,16300,1,16200,16200,16300,447890
1607,20160912,BID,16300,1,16100,16400,16450,815890
1608,20160913,BID,16200,1,16100,16200,16300,477480
1609,20160914,BID,15900,1,15900,16000,16100,652350
1610,20160915,BID,15900,1,15750,15900,16000,916150
1611,20160916,BID,15850,1,15600,15900,15900,758660
1612,20160919,BID,15800,1,15750,15900,15950,367810
1613,20160920,BID,16000,1,15550,15800,16000,983190
1614,20160921,BID,16100,1,15800,15800,16300,960130
1615,20160922,BID,16050,1,16000,16100,16300,502770
1616,20160923,BID,16050,1,15850,16050,16050,753340
1617,20160926,BID,15950,1,15800,16000,16050,775690
